"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier","LCSC Price","JLCPCB Stock","JLCPCB Price","Category","Primary Category","Secondary Category","Pin Count","Add into BOM","Convert to PCB","3D Model Title","Device","Name","Symbol","Unique ID","3D Model Transform","Amplifier Type","Check","Channel ID","Capacitive Load(Max)","Clamping Voltage","Color","Common Mode Rejection Ratio(CMRR)","Contact Material","Conversion Efficiency","Contact Plating","Current Rating","Datasheet","DCR Primary Side (Max)","Description","DCR Secondary Side (Max)","Diameter","Dual Supply","Equivalent Series Resistance(ESR)","Energy","Features","Flame Retardant Rating","Frequency Range","Gain Bandwidth Product","Gain Bandwidth Product(GBP)","LCSC Part Name","JLCPCB Part Class","Isolation Voltage(Vrms)","inter-electrode capacitance","Input Offset Voltage Drift(Vos TC)","Input Offset Current(Ios)","Input offset current drift(Ios TC)","Impulse Discharge Current","Height - Seated (Max)","Group ID","Ib - Input Bias Current","Global Net Name","Linearity","Maximum AC Volts","Lifetime","Maximum DC Volts","Maximum Power Supply Range (Vdd-Vss)","Minimum Cathode Current for Regulation","Noise - 1/10Hz to 10Hz","Mounting Type","Noise - 10Hz to 10kHz","Noise density(eN)","Number of Channels","Number of Circuits","Number of Pins","Number of PINs Per Row","Number of Poles","Number of Rows","Number of Resistors","Operating Temperature Range","Output Current","Operating Temperature","Output Current(Max)","Output Type","Output Power","Output Voltage","Overload Voltage (Max)","Peak Current","Peak Pulse Current (Ipp)","Pin Spacing","Pins Structure","Peak Pulse Power Dissipation (Ppp)","Pitch","Polarity","Power(Watts)","Plastic Material","Rail to Rail","Rated input Current","Quiescent Current","Rated Output Current","Rated Wattage","Reference Series","Reference Type","Relevance","Reuse Block","Reverse Leakage Current (Ir)","Reverse Stand-Off Voltage (Vrwm)","Ripple Current","Row Spacing","Secondary Side Inductance","Single supply","Slew Rate","Slew Rate(SR)","Supplementary Features","Supplier Footprint","Supply Current","Supply Voltage","Turns Ratio","Tolerance","Temperature Coefficient","Type","Voltage - Breakdown","Voltage - DC Spark Over (Nom)","Voltage - Supply","Varistor Voltage","Voltage Rating","Vos - Input Offset Voltage","X-Length of Bottom Edge on Board (Spacing Line)","Y-Width of Bottom Edge on Board","Z-Height of the Board","Voltage-Supply(Max)","drawing:@Board Name","drawing:@Create Date","drawing:@Assembly Variant","drawing:@Create Time","drawing:@Page Count","drawing:@Page Name","drawing:@Page No","drawing:@Project Name","drawing:@Schematic Name","drawing:@Update Date","drawing:@Update Time","drawing:Blade Width","drawing:Border","drawing:Company","drawing:Description","drawing:Device","drawing:Drawed","drawing:Color","drawing:Height","drawing:Name","drawing:Page Size","drawing:Part Number","drawing:Region Start","drawing:Reviewed","drawing:Size","drawing:Symbol","drawing:Title Block","drawing:Title Block Position","drawing:Width","drawing:X Region Count","drawing:Y Region Count","drawing:Version"
"1","1","100nF","C1","CAP-TH_L13.0-W6.0-P10.00-D1.0","100nF","MP2104K27C3X6LC","SRD(圣融达)","C105759","LCSC","0.2536","393036","0.254","电容:安规电容","电容","安规电容","2","yes","","CAP-TH_L13.0-W6.0-H12.0-P10.0","MP2104K27C3X6LC","100nF","","gge71","511.81,236.22,0,0,0,0,0,0,-137.795","","","","","","","","","","","","https://item.szlcsc.com/datasheet/MP2104K27C3X6LC/106974.html","","容值:100nF;精度:±10%;工作电压(AC):275V;防护等级:X2;","","","","","","","","","","","100nF ±10% 275V 等级:X2","Extended Part","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","插件,P=10mm","","","","±10%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","1","1nF","C2","CAP-TH_L8.5-W5.5-P10.00-D0.6","1nF","WYD2H102ME4S620000","WEIDY(纬迪)","C7503354","LCSC","0.2963","10","0.296","电容:安规电容","电容","安规电容","2","yes","","CAP-TH_L8.5-W5.5-P10.00-D0.6","WYD2H102ME4S620000","1nF","","gge93","452.755,216.9287,0,0,0,0,0,0,-196.85","","","","","","","","","","","","https://item.szlcsc.com/datasheet/WYD2H102ME4S620000/8592846.html","","容值:1nF;精度:±20%;工作电压(AC):500V;防护等级:Y1;","","","","","","","","","","","1nF ±20% 500V 等级:Y1","Extended Part","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-40℃~+125℃","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","插件,P=10mm","","","","±20%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","3","100uF","C3,C5,C8","CAP-TH_BD8.0-P3.50-D0.5-FD","100uF","ERG50V100M8X12","JIERR(捷而瑞)","C47344183","LCSC","0.3322","25591","0.332","电容:直插铝电解电容","电容","直插铝电解电容","2","yes","","CAP-TH_BD8.0-P3.50-D0.5-FD","ERG50V100M8X12","100uF","","gge74,gge74_1,gge80","314.96,315.3537,0,90,0,0,0,0,-196.85","","","","","","","","","","","","https://item.szlcsc.com/datasheet/ERG50V100M8X12/49556624.html","","容值:100uF;精度:±20%;额定电压:50V;纹波电流:680mA@100kHz;等效串联电阻(ESR):120mΩ@100kHz;","","8mm","","120mΩ@100kHz","","","","","","","100uF ±20% 50V","Extended Part","","","","","","","12mm","","","","","","2000hrs@105℃","","","","","","","","","","","","","","","","","-40℃~+105℃","","","","","","","","3.5mm","","","","","","","","","","","","","","","","","","680mA@100kHz","","","","","","","插件,D8xL12mm","","","","±20%","","","","","","","50V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","2","100nF","C4,C6","C0603","100nF","CGA0603X7R104K500JT","HRE(芯声)","C6119867","LCSC","0.0138","3645327","0.0138","电容:贴片电容(MLCC)","电容","贴片电容(MLCC)","2","yes","","C0603_L1.6-W0.8-H0.8","CGA0603X7R104K500JT","100nF","","gge91,gge92","62.992,31.496,0,0,0,0,0,0,0","","","","","","","","","","","","https://item.szlcsc.com/datasheet/CGA0603X7R104K500JT/7062573.html","","容值:100nF;精度:±10%;额定电压:50V;温度系数:X7R;","","","","","","","","","","","100nF ±10% 50V","Extended Part","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0603","","","","±10%","X7R","","","","","","50V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","1","XT30APW-M","CN1","CONN-TH_XT30APW-M","","XT30APW-M","","C5818955","LCSC","1.84","155","1.84","","","","2","yes","","CONN-TH_XT30APW-M","XT30APW-M","XT30APW-M","","gge88","390.1567,511.81,0,0,0,0,-0.005,220.472,-118.11","","","","","","","","","","","","","","","","","","","","","","","","","XT30APW-M","Extended Part","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","插件","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","1","XH2.54-3P","CN2","CONN-SMD_3P-P2.50-WT","","XH2.54-3P","","C9900004346","LCSC","","0","0.004","","","","5","yes","","CONN-SMD_3P-P2.50-WT","XH2.54-3P","XH2.54-3P","","gge75_1","492.125,393.7,0,0,0,0,0,-8.465,0","","","","","","","","","","","","","","","","","","","","","","","","","XH2.54-3P","Extended Part","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","XH2.54-3PSMD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1","SS34","D1","SMA_L4.3-W2.6-LS5.2-RD","","SS34","MDD(辰达半导体)","C8678","LCSC","0.1857","1991465","0.186","二极管:肖特基二极管","二极管","肖特基二极管","2","yes","","SMA_L4.3-W2.6-LS5.2-RD","SS34_C8678","SS34","","gge78","185.039,102.362,0,0,0,0,0,0,0","","","","","","","","","","","","https://item.szlcsc.com/datasheet/SS34/9178.html","","二极管配置:独立式;正向压降(Vf):550mV@3A;直流反向耐压(Vr):40V;整流电流:3A;","","","","","","","","","","","电压:40V 电流:3A","Basic Part","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","500uA@40V","","","","","","","","","SMA(DO-214AC)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","1","SMAJ5.0CA","D2","SMA_L4.5-W2.6-LS5.1-BI","","SMAJ5.0CA","YANGJIE(扬杰)","C698963","LCSC","0.3082","3535","0.308","三极管/MOS管/晶体管:静电和浪涌保护(TVS/ESD)","三极管/MOS管/晶体管","静电和浪涌保护(TVS/ESD)","2","yes","","SMA_L4.5-W2.6-LS5.1-BI","SMAJ5.0CA_C698963","SMAJ5.0CA","","gge81","200.98385,102.362,0,0,0,0,0,0,0","","","","","9.2V","","","","","","","https://item.szlcsc.com/datasheet/SMAJ5.0CA/733655.html","","极性:双向;反向截止电压(Vrwm):5V;钳位电压:9.2V;峰值脉冲电流(Ipp):43.38A@10/1000us;峰值脉冲功率(Ppp):400W@10/1000us;击穿电压:7.07V;","","","","","","","","","","","双向TVS","Extended Part","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-55℃~+150℃","","","","","","","43.38A@10/1000us","","","400W@10/1000us","","双向","","","","","","","","","","","","800uA","5V","","","","","","","","DO-214AC(SMA)","","","","","","TVS","7.07V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","1","SMAJ3.3A","D3","SMA_L4.3-W2.6-LS5.1-RD","","SMAJ3.3A","","C400805","LCSC","","0","0.73","","","","2","yes","","SMA_L4.3-W2.6-LS5.1-RD","SMAJ3.3A_C400805","SMAJ3.3A","","gge82","196.4563,102.362,0,0,0,0,0.001,-0.001,0","","","","","","","","","","","","https://atta.szlcsc.com/upload/public/pdf/source/20190627/C400805_D3D725FF4891706EB3DB326941E3A3C8.pdf","","反向截止电压(Vrwm):3.3V;最大钳位电压:7.6V;峰值脉冲电流(Ipp)@10/1000us:52.6A;击穿电压:5V;","","","","","","","","","","","单向TVS 3.3V截止 52.6A峰值脉冲","Extended Part","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3V","","","","","","","","SMA","","","","","","TVS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","1","PDSQAT1918-103MLB","L1","CONN-TH_PDSQAT1918-103MLB","","PDSQAT1918-103MLB","PROD(谱罗德)","C5157137","LCSC","4.58","669","4.58","磁珠/滤波器/EMI优化:共模滤波器","磁珠/滤波器/EMI优化","共模滤波器","4","yes","","CONN-TH_PDSQAT1918-103MLB","PDSQAT1918-103MLB","PDSQAT1918-103MLB","","gge72","944.91937,570.865,0,0,0,0,0,0,-137.795","","","","","","","","","","","5A","https://atta.szlcsc.com/upload/public/pdf/source/20230109/18E0832A236F59D24C384E8B30ECA4EF.pdf","","线路数:2;电感 @ 频率:10mH@1kHz;阻抗 @ 频率:-;直流电阻(DCR):50mΩ;","","","","","","","","","","","共模电感10mH 5A 50mΩMAX 1918 立式 扁平线 EMC","Extended Part","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","插件,24x14.5mm","","","","","","","","","","","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","1","22uF","L2","IND-SMD_L5.8-W5.2_CD54-4R7MT","22uF","","","","LCSC","","","","","","","2","yes","","IND-SMD_L5.8-W5.2_CD54-4R7MT","CD54","22uF","","gge90","228.346,204.724,0,0,0,0,0,0,0","","false","","","","","","","","","","","","","","","","","","","","","","","CD54","Extended Part","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CD54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","1","MF72 5D11","R1","RES-TH_L12.5-W5.1-P7.50-D1.2-S2.20","","MF72 5D11","时恒","C72676","LCSC","0.3663","33280","0.366","传感器:NTC热敏电阻","传感器","NTC热敏电阻","2","yes","","CAP-TH_BD12.5-W5.1-P7.50-S2.20","MF72 5D11","MF72 5D11","","gge70","492.125,232.283,0,0,0,0,0,0,-137.795","","","","","","","","","","","","https://item.szlcsc.com/datasheet/MF72%25205D11/73788.html","","阻值:5Ω;B值(25℃/50℃):2800K;功率:3W;B值精度:±10%;最大稳态电流(25℃):4A;","","","","","","","","","","","5Ω 2800K 3W 功率型NTC热敏电阻器","Extended Part","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-40℃~+170℃","","","","","","","","","","","7.5mm","","3W","","","","","","","","","","","","","","","","","","","","插件,P=7.5mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","4","M3螺丝","SCREW1,SCREW2,SCREW3,SCREW4","M3螺丝","","","","","","","","","","","","1","yes","","","M3螺丝","","","gge94,gge95,gge96,gge97","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","插件","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","1","MTST 1A 250V","U1","MTST 1A 250V","","","","","","","","","","","","2","yes","","","MTST 1A 250V","MTST 1A 250V","","gge89","","","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","1","HLK-10M05","U2","PWRM-TH_HLK-10M05","","HLK-10M05","HI-LINK(海凌科)","C403745","LCSC","19.81","7425","19.81","电源模块:AC-DC电源模块","电源模块","AC-DC电源模块","4","yes","","PWRM-TH_HLK-10M05","HLK-10M05","HLK-10M05","","gge69","1846.45308,1094.486,0,0,0,0,0,0,-157.48","","","","","","","","","","","","https://item.szlcsc.com/datasheet/HLK-10M05/389994.html","","10W超小型系列模块电源是海凌科电子为客户设计的小体积，高效率模块电源。具有全球输入电压范围、低温升、低功耗、高效率、高可靠性、高安全隔离等优点。已广泛用于智能家居、自动化控制、通讯设备、仪器仪表等行业中。","","","","","","","","","","","10W超小型AC-DC模块电源","Extended Part","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DIP,46.9x27.8mm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","1","XL1509-3.3E1","U3","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL","","XL1509-3.3E1","XLSEMI(芯龙)","C74193","LCSC","1.8765","39911","1.877","电源管理:DC-DC电源芯片","电源管理","DC-DC电源芯片","8","yes","","SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-1","XL1509-3.3E1","XL1509-3.3E1","","gge76","192.913,236.22,0,0,0,0,0,0,0","","","","","","","","","","","","https://item.szlcsc.com/datasheet/XL1509-3.3E1/75312.html","","功能类型:降压型;工作电压:4.5V~40V;输出电压:3.3V;输出电流:2A;输出类型:固定;","","","","","","","","","","","XL1509-3.3E1","Extended Part","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2A","-40℃~+85℃","","固定","","3.3V","","","","","","","","","","","","","2mA","","","","","","","","","","","","","","","","SOP-8","","","","","","","","","4.5V~40V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","1","430pF@1kHz","U4","RES-TH_L16.0-W5.2-P7.50-D0.8-S4.20","430pF@1kHz","MOV14D471K206RV080","KNSCHA(科尼盛)","C22390366","LCSC","0.7239","6562","0.724","TVS/保险丝/板级保护:压敏电阻","TVS/保险丝/板级保护","压敏电阻","2","yes","","","MOV14D471K206RV080","430pF@1kHz","","gge25","","","","","","775V","","","","","","","https://item.szlcsc.com/datasheet/MOV14D471K206RV080/23964245.html","","压敏电压:423V~517V;钳位电压:775V;工作电压(DC):385V;工作电压(AC):300V;","","","","","147J","","","","","","14D471K","Extended Part","","","","","","","","","","","","300V","","385V","","","","","","","","","","","","","","","","","","","","","","2.5kA","","","","","","","","","","","","","600mW","","","","","","","","","","","","","","插件,P=7.5mm","","","","","","","","","","423V~517V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","1","2RM230L-8/B","U7","DIO-DT-TH_BD8.0-L6.0-P10.00-D1.2","","2RM230L-8/B","Brightking(君耀电子)","C522373","LCSC","1.8087","533","1.809","TVS/保险丝/板级保护:气体放电管(GDT)","TVS/保险丝/板级保护","气体放电管(GDT)","2","yes","","DIO-DT-TH_D8.0-L6.0-P10.16","2RM230L-8/B","2RM230L-8/B","","gge67","431.4952,314.74984,0,0,0,0,0,0,-137.795","","","","","","","","","","","","https://item.szlcsc.com/datasheet/2RM230L-8%252FB/539968.html","","极数:2;击穿电压:230V;精度:±20%;脉冲放电电流:10kA;","","","","","","","","","","","230V 10kA 2端 GDT","Extended Part","","1.5pF","","","","10kA","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","插件","","","","±20%","","","","230V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
